"FON_FONDSID";"DATUM";"OPEN";"HIGH";"LOW";"KOERS";"OMZET"
"3830";"13-4-1999";"";"";"";"5199,18000";"0"
"3830";"14-4-1999";"";"";"";"5182,16000";"0"
"3830";"16-4-1999";"";"";"";"5155,35000";"0"
"3830";"19-4-1999";"";"";"";"5220,15000";"0"
"3830";"20-4-1999";"";"";"";"5087,29000";"0"
"3830";"21-4-1999";"";"";"";"5163,29000";"0"
"3830";"22-4-1999";"";"";"";"5218,82000";"0"
"3830";"23-4-1999";"";"";"";"5195,42000";"0"
"3830";"26-4-1999";"";"";"";"5256,22000";"0"
"3830";"27-4-1999";"";"";"";"5347,50000";"0"
"3830";"28-4-1999";"";"";"";"5348,61000";"0"
"3830";"29-4-1999";"";"";"";"5334,42000";"0"
"3830";"3-5-1999";"";"";"";"5377,56000";"0"
"3830";"4-5-1999";"";"";"";"5383,21000";"0"
"3830";"5-5-1999";"";"";"";"5307,22000";"0"
"3830";"6-5-1999";"";"";"";"5274,45000";"0"
"3830";"7-5-1999";"";"";"";"5297,38000";"0"
"3830";"10-5-1999";"";"";"";"5217,00000";"0"
"3830";"11-5-1999";"";"";"";"5249,15000";"0"
"3830";"12-5-1999";"";"";"";"5248,02000";"0"
"3830";"17-5-1999";"";"";"";"5114,47000";"0"
"3830";"18-5-1999";"";"";"";"5154,94000";"0"
"3830";"19-5-1999";"";"";"";"5181,51000";"0"
"3830";"20-5-1999";"";"";"";"5235,64000";"0"
"3830";"21-5-1999";"";"";"";"5264,68000";"0"
"3830";"25-5-1999";"";"";"";"5143,10000";"0"
"3830";"26-5-1999";"";"";"";"5160,44000";"0"
"3830";"27-5-1999";"";"";"";"5101,72000";"0"
"3830";"28-5-1999";"";"";"";"5068,73000";"0"
"3830";"1-6-1999";"";"";"";"5021,24000";"0"
"3830";"2-6-1999";"";"";"";"4997,83000";"0"
"3830";"4-6-1999";"";"";"";"5107,81000";"0"
"3830";"7-6-1999";"";"";"";"5190,15000";"0"
"3830";"8-6-1999";"";"";"";"5211,08000";"0"
"3830";"9-6-1999";"";"";"";"5253,89000";"0"
