#"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"456487";"1000";"EUR";"DJ EURO STOXX Total Market (Total Ret)";"DJ EURO STOXX Total ";"BKXT";"BKXT";"";"CH0009119642";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"1319887";"1000";"EUR";"STOXX Global 1800 ex Asia/Pacific NR";"STOXX Global 1800 ex";"SXW9R";"SXW9R";"";"CH0111485295";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"1495636";"1000";"EUR";"Stoxx 1800 ex apac (t/m sep-14 Stoxx EU)";"Stoxx 1800 ex apac (";"X0A2";"X0A2.SIM";"";"";"";"";"";"";"";"";"-";"Indices";"2020-05-15 23:00:00";"Indices";"W. Europe Standard Time"
"2072883";"1000";"EUR";"Defensief vanaf 12-2015";"Defensief vanaf 12-2";"1061";"1061";"";"";"";"";"";"";"";"";"-";"Indices";"2020-05-15 23:00:00";"Indices";"W. Europe Standard Time"
"2072884";"1000";"EUR";"Behoedzaam vanaf 12-2015";"Behoedzaam vanaf 12-";"1062";"1062";"";"";"";"";"";"";"";"";"-";"Indices";"2020-05-15 23:00:00";"Indices";"W. Europe Standard Time"
"2072885";"1000";"EUR";"Offensief vanaf 12-2015";"Offensief vanaf 12-2";"1063";"1063";"";"";"";"";"";"";"";"";"-";"Indices";"2020-05-15 23:00:00";"Indices";"W. Europe Standard Time"
"2072886";"1000";"EUR";"Speculatief vanaf 12-2015";"Speculatief vanaf 12";"1064";"1064";"";"";"";"";"";"";"";"";"-";"Indices";"2020-05-15 23:00:00";"Indices";"W. Europe Standard Time"
"2147695";"1000";"EUR";"Zeer Speculatief vanaf 12-2015";"Zeer Speculatief van";"1069";"1069";"";"";"";"";"";"";"";"";"-";"Indices";"2020-05-15 23:00:00";"Indices";"W. Europe Standard Time"
"2791385";"1000";"EUR";"STOXX 1800 Net Return";"STOXX 1800 Net Retur";"SXW1R";"SXW1R";"";"CH0111485212";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"2919561";"197";"EUR";"Binck Global Developed Markets Eq Fund";"Binck Global Develop";"16942";"16942";"CFOGMX";"LU1527460247";"";"";"";"";"";"";"-";"BFX funds";"2020-05-15 23:59:59";"Binck Fund Exchange";"W. Europe Standard Time"
"2919563";"197";"EUR";"Binck Euro Bond Fund";"Binck Euro Bond Fund";"16977";"16977";"CFOGMX";"LU1527460916";"";"";"";"";"";"";"-";"BFX funds";"2020-05-15 23:59:59";"Binck Fund Exchange";"W. Europe Standard Time"
"3117888";"1000";"EUR";"Barclays 3-5 Year Euro Treasury Bond IDX";"Barclays 3-5 Year Eu";"B35YETB";"B35YETB";"";"BBG002F06207";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"3117889";"1000";"EUR";"Barclays 1-5 Year Euro Corp Bond IDX";"Barclays 1-5 Year Eu";"B15YECB";"B15YECB";"";"BBG002TF8JQ2";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"3117890";"1000";"EUR";"BAM Weighted Low Risk Benchmark IDX";"BAM Weighted Low Ris";"AMBECONF";"AMBECONF";"";"";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"3368184";"197";"EUR";"Binck Gl Dev Markets Eq Fund Sicav NL";"Binck Gl Dev Markets";"27079";"27079";"CFOGMX";"LU1646583416";"";"";"";"";"";"";"-";"BFX funds";"2020-05-15 23:59:59";"Binck Fund Exchange";"W. Europe Standard Time"
