#"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"3830";"1000";"EUR";"DAX Index";"DAX";"DAX";"DAX";"";"DE0008469008";"";"DAX";"";"";"";"";"XEUR";"Eurex Indices";"2020-05-15 17:30:00";"Eurex";"W. Europe Standard Time"
"3831";"1000";"USD";"Dow mini future";"Dow mini future";"DJI";"DJI";"";"US2605661048";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"12573";"1000";"USD";"S&P 500 mini future";"S&P 500 mini future";"SP5";"SP5";"";"US78378X1072";"";"SPX";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"27463";"1000";"USD";"Nasdaq 100 mini future";"Nasdaq 100 mini fut";"NAS";"NAS";"";"US6311011026";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"131803";"1000";"USD";"Nasdaq 100 Index [D]";"Nasdaq 100 Index [D]";"N100";"N100";"";"";"";"NDX";"";"";"";"";"XNAS";"NASDAQ";"2020-05-15 22:00:00";"NASDAQ";"Eastern Standard Time"
"191263";"1000";"JPY";"Nikkei 225";"Nikkei 225";"N225";"N225";"";"";"";"";"";"";"";"";"-";"Tokyo Stock Exchange";"2020-05-15 07:00:00";"Tokyo Stock Exchange";"Tokyo Standard Time"
"193827";"1000";"CHF";"Swiss Market Index";"Swiss Market Index";"SMI";"SMI";"";"CH0009980894";"";"SMI";"";"";"";"";"XSWX";"Zurich";"2020-05-15 17:30:00";"Zurich";"W. Europe Standard Time"
"206610";"1000";"USD";"Russel 2000 Index";"Russel 2000 Index";"80";"RUT";"";"";"";"RLX";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"206611";"1000";"USD";"S&P Midcap 400 Index";"S&P Midcap 400 Index";"MDM";"MDM";"";"";"";"";"";"";"";"MID";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"248236";"1000";"USD";"Dow Jones Global exUS Index";"Dow Jones Global exU";"DWX";"DWX";"";"US26064K1117";"";"";"";"";"";"";"XNYS";"NYSE";"2020-05-15 22:00:00";"NYSE";"Eastern Standard Time"
"408159";"1000";"USD";"Crude Oil Future";"Crude Oil Future";"OIL";"OIL";"";"";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"728740";"171";"EUR";"Lyxor ETF Dow Jones Ind Avg";"Lyxor ETF Dow Jones";"DJE";"IT392364";"CEOIEU";"FR0007056841";"";"DJE";"";"";"";"";"ETFP";"ELECTRONIC OPEN-END FUNDS AND ETC MARKET";"2020-05-15 17:36:00";"Milan";"W. Europe Standard Time"
"955256";"1000";"USD";"CBOE S&P 500 Volatility Index";"CBOE S&P 500 Volatil";"VIX";"VIX";"";"US12497K1007";"";"VIX";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"2341193";"1000";"EUR";"MDAX Index";"MDAX";"MDAX";"MDAX";"";"DE0008467416";"";"MDAX";"";"";"";"";"XETR";"Frankfurt";"2020-05-15 17:34:59";"Frankfurt";"W. Europe Standard Time"
"2986509";"1000";"EUR";"Stoxx Global 1800 EUR (price)";"Stoxx Global 1800 EU";"SXW1E";"SXW1E";"";"CH0111485204";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"3168747";"1000";"USD";"E-Mini Crude Oil Future";"E-Mini Crude Oil Fut";"QM";"QM.US";"";"";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"3366651";"1000";"USD";"Russell 2000 mini future";"Russell 2000 mini fu";"RUT";"RUT.US";"";"US7827001089";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"3762928";"1000";"EUR";"Stoxx Global 3000 PR";"Stoxx Global 3000 PR";"SXGBMP";"SXGBMP";"";"CH0121742412";"";"";"";"";"";"";"XEUR";"Eurex";"2020-05-15 22:04:00";"Eurex";"W. Europe Standard Time"
"4743211";"171";"USD";"iShares Dow Jones Industrial AVRG (USD)";"iShares Dow Jones In";"CIND";"GB38307";"CEOGES";"IE00B53L4350";"";"CIND";"";"";"";"CIND.L";"XLON";"London Stock Exchange";"2020-05-15 17:34:59";"London Stock Exchange";"GMT Standard Time"
"4852630";"1000";"USD";"U.S. Treasury Bond (ZB) Cont Futures";"U.S. Treasury Bond (";"38839";"38839";"";"";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
"5037445";"1000";"USD";"DJX Mini-Dow Jones Index";"DJX Mini-Dow Jones I";"DJX";"DJX.US";"";"BBG000NQ3HF9";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"2020-05-15 22:20:00";"Chicago Mercantile";"Central Standard Time"
