"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-01-27";"2716.42000";"2728.28000";"2615.67000";"2643.80000";"0"
"3830";"2003-01-28";"2649.96000";"2705.22000";"2616.04000";"2671.36000";"0"
"3830";"2003-01-29";"2667.69000";"2743.10000";"2563.92000";"2706.57000";"0"
"3830";"2003-01-30";"2711.84000";"2742.92000";"2665.52000";"2693.78000";"0"
"3830";"2003-01-31";"2687.72000";"2753.26000";"2622.41000";"2747.83000";"0"
"3830";"2003-02-03";"2750.40000";"2802.93000";"2735.58000";"2751.99000";"0"
"3830";"2003-02-04";"2750.04000";"2750.04000";"2618.14000";"2632.98000";"0"
"3830";"2003-02-05";"2626.85000";"2738.11000";"2584.88000";"2725.88000";"0"
"3830";"2003-02-06";"2714.12000";"2720.18000";"2617.66000";"2649.00000";"0"
"3830";"2003-02-07";"2649.02000";"2671.70000";"2561.73000";"2569.34000";"0"
"3830";"2003-02-10";"2573.26000";"2593.00000";"2528.90000";"2586.09000";"0"
"3830";"2003-02-11";"2593.15000";"2664.16000";"2584.68000";"2627.00000";"0"
"3830";"2003-02-12";"2621.45000";"2621.45000";"2565.02000";"2571.25000";"0"
"3830";"2003-02-13";"2566.95000";"2599.44000";"2535.04000";"2555.27000";"0"
"3830";"2003-02-14";"2558.25000";"2711.59000";"2558.25000";"2674.46000";"0"
"3830";"2003-02-17";"2683.48000";"2722.30000";"2679.95000";"2708.97000";"0"
"3830";"2003-02-18";"2707.57000";"2750.08000";"2673.91000";"2740.14000";"0"
"3830";"2003-02-19";"2734.81000";"2734.81000";"2616.91000";"2624.65000";"0"
"3830";"2003-02-20";"2631.48000";"2669.49000";"2575.95000";"2591.26000";"0"
"3830";"2003-02-21";"2591.68000";"2648.87000";"2565.14000";"2648.87000";"0"
"3830";"2003-02-24";"2648.49000";"2648.55000";"2571.35000";"2571.35000";"0"
"3830";"2003-02-25";"2563.37000";"2563.37000";"2448.98000";"2485.50000";"0"
"3830";"2003-02-26";"2488.92000";"2518.85000";"2433.15000";"2450.20000";"0"
"3830";"2003-02-27";"2453.34000";"2513.41000";"2435.64000";"2513.22000";"0"
"3830";"2003-02-28";"2508.89000";"2581.48000";"2480.72000";"2547.05000";"0"
"3830";"2003-03-03";"2553.74000";"2600.76000";"2535.30000";"2549.65000";"0"
"3830";"2003-03-04";"2541.81000";"2541.81000";"2477.06000";"2501.03000";"0"
"3830";"2003-03-05";"2495.46000";"2540.06000";"2456.40000";"2498.02000";"0"
"3830";"2003-03-06";"2500.64000";"2531.63000";"2433.32000";"2437.51000";"0"
"3830";"2003-03-07";"2433.72000";"2467.57000";"2393.59000";"2431.66000";"0"
"3830";"2003-03-10";"2437.32000";"2447.98000";"2328.81000";"2329.04000";"0"
"3830";"2003-03-11";"2324.01000";"2348.08000";"2258.57000";"2305.30000";"0"
"3830";"2003-03-12";"2300.11000";"2319.65000";"2188.75000";"2202.96000";"0"
"3830";"2003-03-13";"2203.97000";"2354.31000";"2203.97000";"2354.31000";"0"
"3830";"2003-03-14";"2356.36000";"2482.14000";"2356.36000";"2403.19000";"0"
"3830";"2003-03-17";"2398.11000";"2520.54000";"2327.87000";"2487.12000";"0"
"3830";"2003-03-18";"2490.78000";"2624.98000";"2490.78000";"2584.61000";"0"
"3830";"2003-03-19";"2576.96000";"2675.02000";"2524.52000";"2615.22000";"0"
"3830";"2003-03-20";"2607.76000";"2657.50000";"2551.91000";"2604.85000";"0"
"3830";"2003-03-21";"2607.70000";"2731.57000";"2603.85000";"2715.06000";"0"
"3830";"2003-03-24";"2712.62000";"2712.62000";"2548.37000";"2548.37000";"0"
"3830";"2003-03-25";"2541.79000";"2630.60000";"2481.71000";"2620.60000";"0"
"3830";"2003-03-27";"2583.27000";"2589.68000";"2511.96000";"2584.05000";"0"
"3830";"2003-03-28";"2580.96000";"2581.65000";"2498.29000";"2520.84000";"0"
"3830";"2003-03-31";"2511.99000";"2511.99000";"2396.60000";"2423.87000";"0"
"3830";"2003-04-01";"2426.24000";"2473.94000";"2395.72000";"2450.19000";"0"
"3830";"2003-04-02";"2462.21000";"2589.35000";"2462.21000";"2589.35000";"0"
"3830";"2003-04-03";"2582.95000";"2644.96000";"2557.19000";"2569.81000";"0"
"3830";"2003-04-04";"2573.16000";"2656.25000";"2553.67000";"2654.07000";"0"
"3830";"2003-04-07";"2654.76000";"2814.39000";"2654.44000";"2808.94000";"0"
"3830";"2003-04-08";"2798.74000";"2809.17000";"2740.61000";"2767.79000";"0"
"3830";"2003-04-09";"2756.62000";"2824.99000";"2696.32000";"2734.10000";"0"
"3830";"2003-04-11";"2700.61000";"2797.42000";"2700.61000";"2733.95000";"0"
"3830";"2003-04-14";"2741.66000";"2787.38000";"2700.33000";"2776.78000";"0"
"3830";"2003-04-22";"2898.36000";"2965.21000";"2843.80000";"2960.96000";"0"
"3830";"2003-04-23";"2968.80000";"3000.76000";"2932.73000";"2974.40000";"0"
"3830";"2003-04-24";"2967.62000";"2969.95000";"2881.04000";"2891.62000";"0"
"3830";"2003-04-25";"2892.46000";"2909.14000";"2828.84000";"2840.14000";"0"
"3830";"2003-04-28";"2834.46000";"2953.92000";"2821.35000";"2953.92000";"0"
"3830";"2003-04-29";"2958.12000";"3004.79000";"2908.96000";"2908.96000";"0"
"3830";"2003-04-30";"2914.47000";"2967.08000";"2914.02000";"2942.04000";"0"
"3830";"2003-05-02";"2938.72000";"2986.00000";"2888.46000";"2986.00000";"0"
"3830";"2003-05-05";"2991.74000";"3039.26000";"2978.71000";"3013.04000";"0"
"3830";"2003-05-06";"3002.40000";"3066.95000";"2977.80000";"3066.95000";"0"
"3830";"2003-05-07";"3063.41000";"3068.08000";"2992.79000";"3005.64000";"0"
"3830";"2003-05-08";"3005.12000";"3016.57000";"2884.51000";"2886.08000";"0"
"3830";"2003-05-09";"2892.63000";"2956.59000";"2861.70000";"2956.59000";"0"
"3830";"2003-05-12";"2961.14000";"2972.72000";"2871.61000";"2937.26000";"0"
"3830";"2003-05-13";"2941.57000";"2951.99000";"2883.31000";"2909.95000";"0"
"3830";"2003-05-14";"2906.95000";"2960.23000";"2888.20000";"2926.03000";"0"
"3830";"2003-05-15";"2926.79000";"2989.38000";"2902.52000";"2989.38000";"0"
"3830";"2003-05-16";"2987.45000";"3029.49000";"2952.18000";"2989.08000";"0"
"3830";"2003-05-19";"2976.38000";"2976.38000";"2841.02000";"2850.68000";"0"
"3830";"2003-05-20";"2848.19000";"2875.40000";"2820.41000";"2838.93000";"0"
