"FON_FONDSID";"DATUM";"OPEN";"HIGH";"LOW";"KOERS";"OMZET"
"3830";"1999-04-13";"";"";"";"5199.18000";"0"
"3830";"1999-04-14";"";"";"";"5182.16000";"0"
"3830";"1999-04-16";"";"";"";"5155.35000";"0"
"3830";"1999-04-19";"";"";"";"5220.15000";"0"
"3830";"1999-04-20";"";"";"";"5087.29000";"0"
"3830";"1999-04-21";"";"";"";"5163.29000";"0"
"3830";"1999-04-22";"";"";"";"5218.82000";"0"
"3830";"1999-04-23";"";"";"";"5195.42000";"0"
"3830";"1999-04-26";"";"";"";"5256.22000";"0"
"3830";"1999-04-27";"";"";"";"5347.50000";"0"
"3830";"1999-04-28";"";"";"";"5348.61000";"0"
"3830";"1999-04-29";"";"";"";"5334.42000";"0"
"3830";"1999-05-03";"";"";"";"5377.56000";"0"
"3830";"1999-05-04";"";"";"";"5383.21000";"0"
"3830";"1999-05-05";"";"";"";"5307.22000";"0"
"3830";"1999-05-06";"";"";"";"5274.45000";"0"
"3830";"1999-05-07";"";"";"";"5297.38000";"0"
"3830";"1999-05-10";"";"";"";"5217.00000";"0"
"3830";"1999-05-11";"";"";"";"5249.15000";"0"
"3830";"1999-05-12";"";"";"";"5248.02000";"0"
"3830";"1999-05-17";"";"";"";"5114.47000";"0"
"3830";"1999-05-18";"";"";"";"5154.94000";"0"
"3830";"1999-05-19";"";"";"";"5181.51000";"0"
"3830";"1999-05-20";"";"";"";"5235.64000";"0"
"3830";"1999-05-21";"";"";"";"5264.68000";"0"
"3830";"1999-05-25";"";"";"";"5143.10000";"0"
"3830";"1999-05-26";"";"";"";"5160.44000";"0"
"3830";"1999-05-27";"";"";"";"5101.72000";"0"
"3830";"1999-05-28";"";"";"";"5068.73000";"0"
"3830";"1999-06-01";"";"";"";"5021.24000";"0"
"3830";"1999-06-02";"";"";"";"4997.83000";"0"
"3830";"1999-06-04";"";"";"";"5107.81000";"0"
"3830";"1999-06-07";"";"";"";"5190.15000";"0"
"3830";"1999-06-08";"";"";"";"5211.08000";"0"
"3830";"1999-06-09";"";"";"";"5253.89000";"0"
"3830";"1999-06-10";"";"";"";"5206.47000";"0"
"3830";"1999-06-11";"";"";"";"5262.15000";"0"
"3830";"1999-06-14";"";"";"";"5268.87000";"0"
"3830";"1999-06-15";"";"";"";"5342.86000";"0"
"3830";"1999-06-16";"";"";"";"5381.25000";"0"
"3830";"1999-06-17";"";"";"";"5412.00000";"0"
"3830";"1999-06-18";"";"";"";"5430.32000";"0"
"3830";"1999-06-21";"";"";"";"5468.47000";"0"
"3830";"1999-06-22";"";"";"";"5468.67000";"0"
"3830";"1999-06-23";"";"";"";"5399.11000";"0"
"3830";"1999-06-24";"";"";"";"5327.60000";"0"
"3830";"1999-06-25";"";"";"";"5301.21000";"0"
"3830";"1999-06-28";"";"";"";"5356.95000";"0"
"3830";"1999-06-29";"";"";"";"5359.53000";"0"
"3830";"1999-06-30";"";"";"";"5388.36000";"0"
"3830";"1999-07-01";"";"";"";"5480.22000";"0"
"3830";"1999-07-02";"";"";"";"5519.05000";"0"
"3830";"1999-07-06";"";"";"";"5612.90000";"0"
"3830";"1999-07-07";"";"";"";"5588.50000";"0"
"3830";"1999-07-08";"";"";"";"5607.10000";"0"
"3830";"1999-07-09";"";"";"";"5638.95000";"0"
"3830";"1999-07-12";"";"";"";"5652.02000";"0"
"3830";"1999-07-13";"";"";"";"5573.82000";"0"
"3830";"1999-07-14";"";"";"";"5610.89000";"0"
"3830";"1999-07-15";"";"";"";"5619.26000";"0"
"3830";"1999-07-16";"";"";"";"5619.94000";"0"
"3830";"1999-07-19";"";"";"";"5624.74000";"0"
"3830";"1999-07-20";"";"";"";"5541.29000";"0"
"3830";"1999-07-21";"";"";"";"5419.47000";"0"
"3830";"1999-07-22";"";"";"";"5340.91000";"0"
"3830";"1999-07-23";"";"";"";"5310.63000";"0"
"3830";"1999-07-26";"";"";"";"5206.44000";"0"
"3830";"1999-07-27";"";"";"";"5224.16000";"0"
"3830";"1999-07-28";"";"";"";"5229.56000";"0"
"3830";"1999-07-29";"";"";"";"5052.32000";"0"
"3830";"1999-07-30";"";"";"";"5101.87000";"0"
"3830";"1999-08-02";"";"";"";"5129.50000";"0"
"3830";"1999-08-03";"";"";"";"5107.68000";"0"
"3830";"1999-08-04";"";"";"";"5119.37000";"0"
"3830";"1999-08-05";"";"";"";"4978.45000";"0"
"3830";"1999-08-06";"";"";"";"4999.61000";"0"
"3830";"1999-08-09";"";"";"";"5087.30000";"0"
"3830";"1999-08-10";"";"";"";"5000.87000";"0"
"3830";"1999-08-11";"";"";"";"5045.07000";"0"
"3830";"1999-08-12";"";"";"";"5127.43000";"0"
"3830";"1999-08-13";"";"";"";"5219.43000";"0"
"3830";"1999-08-16";"";"";"";"5257.10000";"0"
"3830";"1999-08-17";"";"";"";"5259.91000";"0"
"3830";"1999-08-18";"";"";"";"5230.47000";"0"
"3830";"1999-08-19";"";"";"";"5186.85000";"0"
"3830";"1999-08-20";"";"";"";"5254.14000";"0"
"3830";"1999-08-23";"";"";"";"5301.98000";"0"
"3830";"1999-08-24";"";"";"";"5324.02000";"0"
"3830";"1999-08-25";"";"";"";"5406.81000";"0"
"3830";"1999-08-26";"";"";"";"5389.34000";"0"
"3830";"1999-08-27";"";"";"";"5420.36000";"0"
"3830";"1999-08-30";"";"";"";"5392.53000";"0"
"3830";"1999-08-31";"";"";"";"5270.77000";"0"
"3830";"1999-09-01";"";"";"";"5317.12000";"0"
"3830";"1999-09-02";"";"";"";"5189.92000";"0"
"3830";"1999-09-03";"";"";"";"5336.22000";"0"
"3830";"1999-09-07";"";"";"";"5391.36000";"0"
"3830";"1999-09-08";"";"";"";"5400.70000";"0"
"3830";"1999-09-09";"";"";"";"5436.86000";"0"
"3830";"1999-09-10";"";"";"";"5483.95000";"0"
"3830";"1999-09-13";"";"";"";"5446.91000";"0"
"3830";"1999-09-14";"";"";"";"5401.47000";"0"
"3830";"1999-09-15";"";"";"";"5425.89000";"0"
"3830";"1999-09-16";"";"";"";"5304.42000";"0"
"3830";"1999-09-17";"";"";"";"5303.94000";"0"
"3830";"1999-09-20";"";"";"";"5351.98000";"0"
"3830";"1999-09-21";"";"";"";"5282.76000";"0"
"3830";"1999-09-22";"";"";"";"5238.76000";"0"
"3830";"1999-09-23";"";"";"";"5299.57000";"0"
"3830";"1999-09-24";"";"";"";"5186.53000";"0"
"3830";"1999-09-27";"";"";"";"5229.87000";"0"
"3830";"1999-09-28";"";"";"";"5119.10000";"0"
"3830";"1999-09-29";"";"";"";"5135.62000";"0"
"3830";"1999-09-30";"";"";"";"5149.83000";"0"
"3830";"1999-10-01";"";"";"";"5124.55000";"0"
"3830";"1999-10-04";"";"";"";"5218.86000";"0"
"3830";"1999-10-05";"";"";"";"5301.85000";"0"
"3830";"1999-10-06";"";"";"";"5353.32000";"0"
"3830";"1999-10-07";"";"";"";"5419.31000";"0"
"3830";"1999-10-08";"";"";"";"5419.26000";"0"
"3830";"1999-10-11";"";"";"";"5414.50000";"0"
"3830";"1999-10-12";"";"";"";"5358.46000";"0"
"3830";"1999-10-13";"";"";"";"5295.43000";"0"
"3830";"1999-10-14";"";"";"";"5220.29000";"0"
"3830";"1999-10-15";"";"";"";"5184.23000";"0"
"3830";"1999-10-18";"";"";"";"5156.28000";"0"
"3830";"1999-10-19";"";"";"";"5296.91000";"0"
"3830";"1999-10-20";"";"";"";"5291.23000";"0"
"3830";"1999-10-21";"";"";"";"5246.49000";"0"
"3830";"1999-10-22";"";"";"";"5357.75000";"0"
"3830";"1999-10-25";"";"";"";"5320.40000";"0"
"3830";"1999-10-26";"";"";"";"5388.76000";"0"
"3830";"1999-10-27";"";"";"";"5373.19000";"0"
"3830";"1999-10-28";"";"";"";"5478.89000";"0"
"3830";"1999-10-29";"";"";"";"5525.40000";"0"
"3830";"1999-10-31";"";"";"";"5505.73000";"0"
"3830";"1999-11-01";"";"";"";"5524.92000";"0"
"3830";"1999-11-02";"";"";"";"5546.95000";"0"
"3830";"1999-11-03";"";"";"";"5560.87000";"0"
"3830";"1999-11-04";"";"";"";"5635.62000";"0"
"3830";"1999-11-05";"";"";"";"5658.10000";"0"
"3830";"1999-11-08";"";"";"";"5647.94000";"0"
"3830";"1999-11-09";"";"";"";"5694.73000";"0"
"3830";"1999-11-10";"";"";"";"5742.42000";"0"
"3830";"1999-11-11";"";"";"";"5802.36000";"0"
"3830";"1999-11-12";"";"";"";"5791.05000";"0"
"3830";"1999-11-15";"";"";"";"5859.29000";"0"
"3830";"1999-11-16";"";"";"";"5909.52000";"0"
"3830";"1999-11-17";"";"";"";"5870.17000";"0"
"3830";"1999-11-18";"";"";"";"5950.05000";"0"
"3830";"1999-11-19";"";"";"";"5955.97000";"0"
"3830";"1999-11-22";"";"";"";"5819.89000";"0"
"3830";"1999-11-23";"";"";"";"5814.74000";"0"
"3830";"1999-11-24";"";"";"";"5818.73000";"0"
"3830";"2000-08-29";"";"";"";"7294.40000";"0"
"3830";"2000-08-30";"";"";"";"7185.56000";"0"
"3830";"2000-08-31";"";"";"";"7216.45000";"0"
"3830";"2000-09-01";"";"";"";"7344.67000";"0"
"3830";"2000-09-04";"";"";"";"7445.56000";"0"
"3830";"2000-09-05";"";"";"";"7395.07000";"0"
"3830";"2000-09-06";"";"";"";"7333.02000";"0"
"3830";"2000-09-07";"";"";"";"7373.34000";"0"
"3830";"2000-09-08";"";"";"";"7267.77000";"0"
"3830";"2000-09-11";"";"";"";"7214.45000";"0"
"3830";"2000-09-12";"";"";"";"7135.75000";"0"
