"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"8894498";"1000";"EUR";"ISEQ 20";"ISEQ 20";"IECP";"IECP";"TIMMMX";"IE00B0500264";"";"IECP";"";"";"";"";"XDUB";"Dublin";"7-12-2021 17:40:00";"Dublin";"W. Europe Standard Time"
"417203";"1000";"DKK";"OMX Copenhagen 20 [D]";"OMX Copenhagen 20 [D";"OMXC20";"OMXC20";"";"DX0000001376";"";"";"";"";"";"";"XCSE";"OMX Copenhagen";"7-12-2021 17:00:00";"OMX Copenhagen";"W. Europe Standard Time"
"417204";"1000";"SEK";"OMX Stockholm 30 [D]";"OMX Stockholm 30 [D]";"OMXS30";"OMXS30";"";"SE0000337842";"";"";"";"";"";"";"XSTO";"OMX Stockholm";"7-12-2021 17:30:00";"OMX Stockholm";"W. Europe Standard Time"
"2290663";"1000";"EUR";"AEX X5 SHORT ";"AEX X5 SHORT ";"AEX5S";"AEX5S";"";"QS0011230214";"";"AEX5S";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290667";"1000";"EUR";"CAC 40 X10 SH";"CAC10S";"CAC10S";"CAC10S";"";"QS0011231659";"";"CA10S";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290669";"1000";"EUR";"ACA3L Index";"ACA3L";"ACA3L";"ACA3L";"";"QS0011236005";"";"ACA3L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"2290681";"1000";"EUR";"SGO5L";"SGO5L";"SGO5L";"SGO5L";"";"QS0011249800";"";"SGO5L";"";"";"";"";"XPAR";"Euronext Paris";"7-12-2021 17:40:00";"Euronext Paris";"W. Europe Standard Time"
"415034";"1050";"HUF";"Hungarian Forint ( EUR / HUF)";"EUR / HUF";"EURHUF";"EURHUF";"";"EU0006169864";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"415035";"1050";"IDR";"Indonesian Rupiah (EUR / IDR)";"EUR / IDR";"EURIDR";"EURIDR";"";"EU0006169872";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
"410012";"1050";"SGD";"Singapore Dollar (EUR / SGD)";"EUR / SGD";"EURSGD";"EURSGD";"";"EU0006169948";"";"";"";"";"";"";"-";"ForEx";"7-12-2021 23:59:59";"Indices";"W. Europe Standard Time"
